S.No.,Application Number,Application Type,Institute Name,Inst Address,Inst Address 2,CITY,District,Pincode,Minority Institute,Womens institute,State,Region,Inst Type,Program,Course,Level,Specialization,Intake,Approval
,1-5627221,New Institute,SHANKERSINH VAGHELA GROUP OF INSTITUTIONS,"GANDHINAGAR MANSA HIGHWAY ROAD
NR. RANDHEJA RLY CROSSING",,"UNAVA, VASAN",GANDHINAGAR,382650,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electrical Engineering,60,Yes
,1-5627221,New Institute,SHANKERSINH VAGHELA GROUP OF INSTITUTIONS,"GANDHINAGAR MANSA HIGHWAY ROAD
NR. RANDHEJA RLY CROSSING",,"UNAVA, VASAN",GANDHINAGAR,382650,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Information Technology,Graduate,Information Technology Engineering,60,Yes
,1-5627221,New Institute,SHANKERSINH VAGHELA GROUP OF INSTITUTIONS,"GANDHINAGAR MANSA HIGHWAY ROAD
NR. RANDHEJA RLY CROSSING",,"UNAVA, VASAN",GANDHINAGAR,382650,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Electrical & Communication,Graduate,Electronics and Communication engineering,60,Yes
,1-5627221,New Institute,SHANKERSINH VAGHELA GROUP OF INSTITUTIONS,"GANDHINAGAR MANSA HIGHWAY ROAD
NR. RANDHEJA RLY CROSSING",,"UNAVA, VASAN",GANDHINAGAR,382650,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Civil Engineering,60,Yes
,1-5627221,New Institute,SHANKERSINH VAGHELA GROUP OF INSTITUTIONS,"GANDHINAGAR MANSA HIGHWAY ROAD
NR. RANDHEJA RLY CROSSING",,"UNAVA, VASAN",GANDHINAGAR,382650,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering,120,Yes
,1-5627221,New Institute,SHANKERSINH VAGHELA GROUP OF INSTITUTIONS,"GANDHINAGAR MANSA HIGHWAY ROAD
NR. RANDHEJA RLY CROSSING",,"UNAVA, VASAN",GANDHINAGAR,382650,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Science and Engineering,60,Yes
73,1-6499401,New Institute,SAMARTH COLLEGE OF ENGINEERING & TECHNOLOGY,"SAMARTH CAMPUS, OPP. SABAR DAIRY, NH-8, HAJIPUR",HIMATNAGAR,HIMATNAGAR,SABARKANTHA,383001,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Bechlor Of Engineering,60,Yes
,1-6499401,New Institute,SAMARTH COLLEGE OF ENGINEERING & TECHNOLOGY,"SAMARTH CAMPUS, OPP. SABAR DAIRY, NH-8, HAJIPUR",HIMATNAGAR,HIMATNAGAR,SABARKANTHA,383001,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Electrical & Communication,Graduate,Bechlor Of Engineering,60,Yes
,1-6499401,New Institute,SAMARTH COLLEGE OF ENGINEERING & TECHNOLOGY,"SAMARTH CAMPUS, OPP. SABAR DAIRY, NH-8, HAJIPUR",HIMATNAGAR,HIMATNAGAR,SABARKANTHA,383001,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Bechlor Of Engineering,60,Yes
,1-6499401,New Institute,SAMARTH COLLEGE OF ENGINEERING & TECHNOLOGY,"SAMARTH CAMPUS, OPP. SABAR DAIRY, NH-8, HAJIPUR",HIMATNAGAR,HIMATNAGAR,SABARKANTHA,383001,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Bechlor Of Engineering,60,Yes
,1-6499401,New Institute,SAMARTH COLLEGE OF ENGINEERING & TECHNOLOGY,"SAMARTH CAMPUS, OPP. SABAR DAIRY, NH-8, HAJIPUR",HIMATNAGAR,HIMATNAGAR,SABARKANTHA,383001,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Bechlor Of Engineering,60,Yes
74,1-4590801,New Institute,HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH,GAJJOD ROAD,BHUJ - MUNDRA ROAD,KERA,KUTCH,370430,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,,60,Yes
,1-4590801,New Institute,HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH,GAJJOD ROAD,BHUJ - MUNDRA ROAD,KERA,KUTCH,370430,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,,60,Yes
,1-4590801,New Institute,HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH,GAJJOD ROAD,BHUJ - MUNDRA ROAD,KERA,KUTCH,370430,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Electrical & Communication,Graduate,,60,Yes
,1-4590801,New Institute,HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH,GAJJOD ROAD,BHUJ - MUNDRA ROAD,KERA,KUTCH,370430,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,,60,Yes
,1-4590801,New Institute,HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH,GAJJOD ROAD,BHUJ - MUNDRA ROAD,KERA,KUTCH,370430,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,,60,Yes
75,1-3214133,New Institute,CHRIST INSTITUTE OF MANAGEMENT,"""VIDYA NIKETAN"", CHRIST CAMPUS,",NR. SAURASHTRA UNIVERSITY,RAJKOT,RAJKOT,360005,Y,,Gujarat,Central,Unaided - Private,Management,Master in Business Admin,Post Graduate,"MARKETING, FINANCE, H.R.M, SYSTEMS",120,Yes
76,1-3931861,New Institute,Dr. Bharat Barad Institute of Management & Computer Science,"Veraval - Kodinar Highway,","Veraval - Kodinar Highway,",Sutrapada,Junagadh,362275,,,Gujarat,Central,Unaided - Private,Management,Master in Business Admin,Post Graduate,MBA,60,Yes
,1-3931861,New Institute,Dr. Bharat Barad Institute of Management & Computer Science,"Veraval - Kodinar Highway,","Veraval - Kodinar Highway,",Sutrapada,Junagadh,362275,,,Gujarat,Central,Unaided - Private,MCA,Master in Computer Application,Post Graduate,MCA,60,Yes
77,1-4365821,New Institute,Tatva Institute of Technological Studies,"Near Karna Pump,","Modasa-Shamlaji Road,",Modasa,Sabarkantha,383315,N,,Gujarat,Central,Unaided - Private,Engineering & Technology,Information Technology,Graduate,,60,Yes
,1-4365821,New Institute,Tatva Institute of Technological Studies,"Near Karna Pump,","Modasa-Shamlaji Road,",Modasa,Sabarkantha,383315,N,,Gujarat,Central,Unaided - Private,Engineering & Technology,Electrical & Communication,Graduate,,60,Yes
,1-4365821,New Institute,Tatva Institute of Technological Studies,"Near Karna Pump,","Modasa-Shamlaji Road,",Modasa,Sabarkantha,383315,N,,Gujarat,Central,Unaided - Private,Engineering & Technology,Mechanical Engineering,Graduate,,60,Yes
,1-4365821,New Institute,Tatva Institute of Technological Studies,"Near Karna Pump,","Modasa-Shamlaji Road,",Modasa,Sabarkantha,383315,N,,Gujarat,Central,Unaided - Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,,60,Yes
,1-4365821,New Institute,Tatva Institute of Technological Studies,"Near Karna Pump,","Modasa-Shamlaji Road,",Modasa,Sabarkantha,383315,N,,Gujarat,Central,Unaided - Private,Engineering & Technology,Civil Engineering,Graduate,,60,Yes
78,1-5614801,New Institute,MARWADI EDUCATION FOUNDATION'S GROUP OF INSTITUTIONS - FACULTY OF BUSINESS MANAGEMENT,VILLAGE: GAURIDAD,MORBI - RAJKOT ROAD,RAJKOT,RAJKOT,360003,,,Gujarat,Central,Unaided-Private,Management,PG Diploma in Management,Post Graduate,Management,60,Yes
79,1-7356231,New Institute,K.B.RAVAL INSTITUTE OF COMPUTER STUDIES,"AT:SHERTHA,PO:KASTURINAGAR","TA&DIST:GANDHINAGAR,GUJARAT.",SHERTHA,GANDHINAGAR,382423,,,Gujarat,Central,Unaided-Private,MCA,Master in Computer Application,Post Graduate,MASTER OF COMPUTER APPLICATION,120,Yes
80,1-5139051,New Institute,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",At. & Po. Vadasma,Ta. & Dist. Mehsana,Village Vadasma,Mehsana,382708,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,ME,60,Yes
,1-5139051,New Institute,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",At. & Po. Vadasma,Ta. & Dist. Mehsana,Village Vadasma,Mehsana,382708,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,CS,60,Yes
,1-5139051,New Institute,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",At. & Po. Vadasma,Ta. & Dist. Mehsana,Village Vadasma,Mehsana,382708,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,ECE,60,Yes
,1-5139051,New Institute,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",At. & Po. Vadasma,Ta. & Dist. Mehsana,Village Vadasma,Mehsana,382708,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,EE,60,Yes
,1-5139051,New Institute,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",At. & Po. Vadasma,Ta. & Dist. Mehsana,Village Vadasma,Mehsana,382708,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,CE,60,Yes
81,1-2403461,New Institute,Shree Marutinandan Institute of Computer and Management Studies,"Nalanda Vidhya Sankul
Rupen nadi na kinare",,Ahmedabad,Mehsana,384320,,,Gujarat,Central,Unaided-Private,MCA,Master in Computer Application,Post Graduate,MCA,60,Yes
82,1-2896411,New Institute,The Mandvi Education Society Institute of Business Management and Computer Studies,"The Mandvi Education Society,At & Po-Mandvi,Di-Surat,Gujarat,394160",,Ahmedabad,Surat,394160,,,Gujarat,Central,Unaided-Private,Management,Master in Business Admin,Post Graduate,Master of Business Administration,60,Yes
83,1-6092481,New Institute,Shree R. R. TANTI INSTITUTE OF MANAGEMENT,"Shree R. R. TANTI BHAVAN,  Shree SWAMINARAYAN GURUKUL,","Plot No. 508, G.I.D.C.,",ANKLESHWAR,BHARUCH,,,,Gujarat,Central,Unaided-Private,Management,Master in Business Admin,Post Graduate,"H.R., MARKETING, FINANCE, I.T., OPERATION",120,Yes
84,1-940901,New Institute,"Laxmi Institute of Technology, Sarigam","Laxmi Vidyapeeth
P. B. No. 15
Sarigam P. O.
Valsad - 396155",,,Valsad,396155,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,,60,Yes
,1-940901,New Institute,"Laxmi Institute of Technology, Sarigam","Laxmi Vidyapeeth
P. B. No. 15
Sarigam P. O.
Valsad - 396155",,,Valsad,396155,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Information Technology,Graduate,,60,Yes
,1-940901,New Institute,"Laxmi Institute of Technology, Sarigam","Laxmi Vidyapeeth
P. B. No. 15
Sarigam P. O.
Valsad - 396155",,,Valsad,396155,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,,60,Yes
,1-940901,New Institute,"Laxmi Institute of Technology, Sarigam","Laxmi Vidyapeeth
P. B. No. 15
Sarigam P. O.
Valsad - 396155",,,Valsad,396155,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,,60,Yes
,1-940901,New Institute,"Laxmi Institute of Technology, Sarigam","Laxmi Vidyapeeth
P. B. No. 15
Sarigam P. O.
Valsad - 396155",,,Valsad,396155,,,Gujarat,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,,60,Yes
85,1-6899131,New Institute,R. H. Patel Institute of Management,"Near Water City, N. H. No. 8",,Goblaj,Kheda,387540,,,Gujarat,Central,Unaided-Private,Management,Master in Business Admin,Post Graduate,"MBA - finance, Marketing, HRM, IT",120,Yes
86,1-5502761,New Institute,Sardar Patel Institute of Management,At & Po. Sami,,Sami,Patan,384245,,,Gujarat,Central,Unaided-Private,Management,Master in Business Admin,Post Graduate,MBA,60,Yes
87,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Pharmacy,Pharmacy,Post Graduate,PCPB-New Proposed-Pharmacology,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Pharmacy,Pharmacy,Post Graduate,PCPB-New Proposed-Pharmaceutical Chemistry,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Pharmacy,Pharmacy,Post Graduate,PCPB-New Proposed-Pharmacognosy,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Pharmacy,Pharmacy,Post Graduate,PCPB-Increase-Pharmaceutics,36,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Pharmacy,Pharmacy,Graduate,PCP-Increase,120,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Management,Master in Business Admin,Post Graduate,PITB-Extension,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Post Graduate,PIES-New Proposed-Thermal,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Post Graduate,PIES-New Proposed-VLSI & Embedded Systems,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Post Graduate,PIES-New Proposed-Digital Communication,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Post Graduate,PIES-New Proposed-Computer Science & Engineering,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,PIES-Increase,120,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Information Technology,Graduate,PIES-Extension,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,PIES-Increase,120,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,PIES-Extension,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,PIESB-Extension,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Post Graduate,PITB-New Proposed-Power Electronics,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Post Graduate,PITB-New Proposed-Thermal Engineering,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Post Graduate,PITB-New Proposed-Digital Communication,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Post Graduate,PITB-New Proposed-Computer Science & Engineering,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Civil Engineering,Post Graduate,PITB-New Proposed-Construction Management Technolo,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,PITB-New Proposed,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Information Technology,Graduate,PITB-Extension,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,PITB-Increase,120,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,PITB-Extension,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,PITB-Decrease,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,PITB-Extension,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,PCSTB-Second Shift-New Proposed,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,PCSTB-Second Shift-New Proposed,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,PCSTB-Second Shift-New Proposed,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Management,Master in Business Admin,Post Graduate,PCSTB-Extension,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,MCA,Master in Computer Application,Post Graduate,PCSTB-Extension,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Post Graduate,PCSTB-New Proposed-Software Systems,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Post Graduate,PCSTB-Extension-Thermal Engineering,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Post Graduate,PCSTB-Extension-Digital Communication,18,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Post Graduate,PCSTB-Increase-Computer Science & Engineering,36,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,PCSTB-Increase,120,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Information Technology,Graduate,PCSTB-Decrease,60,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,PCSTB-Extension,120,Yes
,1-7062931,New Institute,PATEL GROUP OF INSTITUTIONS,RATIBAD,,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,PCSTB-Extension,120,No
88,1-5717701,New Institute,VNS Group of Institutions,"VNS CAMPUS, VIDYA VIHAR, NEELBUD",NATHUBERKHEDA,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Pharmacy,Pharmacy,Post Graduate,M.Pharm,38,No
,1-5717701,New Institute,VNS Group of Institutions,"VNS CAMPUS, VIDYA VIHAR, NEELBUD",NATHUBERKHEDA,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Pharmacy,Pharmacy,Graduate,B.Pharm,60,No
,1-5717701,New Institute,VNS Group of Institutions,"VNS CAMPUS, VIDYA VIHAR, NEELBUD",NATHUBERKHEDA,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Management,Master in Business Admin,Post Graduate,MBA,120,No
,1-5717701,New Institute,VNS Group of Institutions,"VNS CAMPUS, VIDYA VIHAR, NEELBUD",NATHUBERKHEDA,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,MBA,Post Graduate,MBA,60,No
,1-5717701,New Institute,VNS Group of Institutions,"VNS CAMPUS, VIDYA VIHAR, NEELBUD",NATHUBERKHEDA,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Information Technology,Graduate,IT,60,No
,1-5717701,New Institute,VNS Group of Institutions,"VNS CAMPUS, VIDYA VIHAR, NEELBUD",NATHUBERKHEDA,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,EE,60,No
,1-5717701,New Institute,VNS Group of Institutions,"VNS CAMPUS, VIDYA VIHAR, NEELBUD",NATHUBERKHEDA,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,ME,60,No
,1-5717701,New Institute,VNS Group of Institutions,"VNS CAMPUS, VIDYA VIHAR, NEELBUD",NATHUBERKHEDA,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,EC,120,No
,1-5717701,New Institute,VNS Group of Institutions,"VNS CAMPUS, VIDYA VIHAR, NEELBUD",NATHUBERKHEDA,BHOPAL,BHOPAL,462044,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,CSE,120,No
89,1-6145231,New Institute,VNS Business School,"VNS Campus, Vidya Vihar ,",Nathu Barkheda,Bhopal,Bhopal,462044,,,Madhya Pradesh,Central,Unaided-Private,Management,PG Diploma in Management,Post Graduate,"Mareking, HR , finance, Retail , Logistics, Bankig",120,No
90,1-10074841,New Institute,Le Magnus School of Management,"PH 46, Village Choraha,
Kumhari,
RI Circle - Ahiwara
Tehsil Dhamda,
District Durg, 
Pin - 492010",,Kumhari,Durg,492010,,,Chhattisgarh,Central,Unaided-Private,Management,PG Diploma in Management,Post Graduate,"PGDM / Marketing, Finance, HRM and IT",120,No
91,1-7610651,New Institute,"Institute of Business Studies, Raipur","PH 46, Kumhari,",Chhattisgarh,"VIllage Choraha, Tehsil: Dhamdha,",Durg,492010,,,Chhattisgarh,Central,Unaided-Private,Management,PG Diploma in Management,Post Graduate,"Marketing, HRM,Operations,IT&Systems,Banking,Fin",120,No
92,1-3892241,New Institute,Surabhi Group of Institutions,"Sukhi Sewaniya, Village Gadmura, Bhopal Sanchi Road",Bhopal,Bhopal,Bhopal,462030,,,Madhya Pradesh,Central,Unaided - Private,Management,Master in Business Admin,Post Graduate,MBA,60,No
,1-3892241,New Institute,Surabhi Group of Institutions,"Sukhi Sewaniya, Village Gadmura, Bhopal Sanchi Road",Bhopal,Bhopal,Bhopal,462030,,,Madhya Pradesh,Central,Unaided - Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,EEE,60,No
,1-3892241,New Institute,Surabhi Group of Institutions,"Sukhi Sewaniya, Village Gadmura, Bhopal Sanchi Road",Bhopal,Bhopal,Bhopal,462030,,,Madhya Pradesh,Central,Unaided - Private,Engineering & Technology,Electrical & Communication,Graduate,EC,60,No
,1-3892241,New Institute,Surabhi Group of Institutions,"Sukhi Sewaniya, Village Gadmura, Bhopal Sanchi Road",Bhopal,Bhopal,Bhopal,462030,,,Madhya Pradesh,Central,Unaided - Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical,60,No
,1-3892241,New Institute,Surabhi Group of Institutions,"Sukhi Sewaniya, Village Gadmura, Bhopal Sanchi Road",Bhopal,Bhopal,Bhopal,462030,,,Madhya Pradesh,Central,Unaided - Private,Engineering & Technology,Civil Engineering,Graduate,Civil,60,No
93,1-1344171,New Institute,Vaishnavi Institutes of Technology and Science,"Village Mendua,Tehsil Gouharganj",,Bhopal,Raisen,462040,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,CSE,60,No
,1-1344171,New Institute,Vaishnavi Institutes of Technology and Science,"Village Mendua,Tehsil Gouharganj",,Bhopal,Raisen,462040,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,CE,60,No
,1-1344171,New Institute,Vaishnavi Institutes of Technology and Science,"Village Mendua,Tehsil Gouharganj",,Bhopal,Raisen,462040,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,EE,60,No
,1-1344171,New Institute,Vaishnavi Institutes of Technology and Science,"Village Mendua,Tehsil Gouharganj",,Bhopal,Raisen,462040,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,ME,60,No
,1-1344171,New Institute,Vaishnavi Institutes of Technology and Science,"Village Mendua,Tehsil Gouharganj",,Bhopal,Raisen,462040,,,Madhya Pradesh,Central,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,ECE,60,No
